$id	$permissions	$createdAt	$updatedAt	book	category	episode	fileName	uploaded_at	fileId	bookOrder	categoryOrder	updated_at	episodeOrder	users
67b733ed002b122876f1	"[""read(\""user:679fa2f8002b800614ce\"")"",""update(\""user:679fa2f8002b800614ce\"")"",""delete(\""user:679fa2f8002b800614ce\"")""]"	2025-02-20T13:53:50.414+00:00	2025-02-20T13:53:50.414+00:00	שמות	תורה	וארא	תורה-שמות-וארא.json	2025-02-20T13:53:49.689+00:00	67b733ec002fed6ca335	2	1	null	2	679fa2f8002b800614ce
67b733fa002d9f308a63	"[""read(\""user:679fa2f8002b800614ce\"")"",""update(\""user:679fa2f8002b800614ce\"")"",""delete(\""user:679fa2f8002b800614ce\"")""]"	2025-02-20T13:54:03.439+00:00	2025-02-20T13:54:03.439+00:00	שמות	תורה	בא	תורה-שמות-בא.json	2025-02-20T13:54:02.729+00:00	67b733f9003a1c3ec065	2	1	null	3	679fa2f8002b800614ce
67b73410000b20db9a8c	"[""read(\""user:679fa2f8002b800614ce\"")"",""update(\""user:679fa2f8002b800614ce\"")"",""delete(\""user:679fa2f8002b800614ce\"")""]"	2025-02-20T13:54:24.813+00:00	2025-02-20T13:54:24.813+00:00	שמות	תורה	בשלח	תורה-שמות-בשלח.json	2025-02-20T13:54:24.178+00:00	67b7340f000f71e2820c	2	1	null	4	679fa2f8002b800614ce
67b73428001f74a33197	"[""read(\""user:679fa2f8002b800614ce\"")"",""update(\""user:679fa2f8002b800614ce\"")"",""delete(\""user:679fa2f8002b800614ce\"")""]"	2025-02-20T13:54:49.222+00:00	2025-02-20T13:54:49.222+00:00	שמות	תורה	יתרו	תורה-שמות-יתרו.json	2025-02-20T13:54:48.503+00:00	67b734270029854ff3fa	2	1	null	5	679fa2f8002b800614ce
67b7343900176fedfbe7	"[""read(\""user:679fa2f8002b800614ce\"")"",""update(\""user:679fa2f8002b800614ce\"")"",""delete(\""user:679fa2f8002b800614ce\"")""]"	2025-02-20T13:55:06.112+00:00	2025-02-20T13:55:06.112+00:00	שמות	תורה	משפטים	תורה-שמות-משפטים.json	2025-02-20T13:55:05.374+00:00	67b73438001d6b93a946	2	1	null	6	679fa2f8002b800614ce
67b7344b00260e556a5f	"[""read(\""user:679fa2f8002b800614ce\"")"",""update(\""user:679fa2f8002b800614ce\"")"",""delete(\""user:679fa2f8002b800614ce\"")""]"	2025-02-20T13:55:24.364+00:00	2025-02-20T13:55:24.364+00:00	שמות	תורה	תרומה	תורה-שמות-תרומה.json	2025-02-20T13:55:23.608+00:00	67b7344a002ace1725d8	2	1	null	7	679fa2f8002b800614ce
67b7345d001fe2d00255	"[""read(\""user:679fa2f8002b800614ce\"")"",""update(\""user:679fa2f8002b800614ce\"")"",""delete(\""user:679fa2f8002b800614ce\"")""]"	2025-02-20T13:55:42.300+00:00	2025-02-20T13:55:42.300+00:00	שמות	תורה	תצוה	תורה-שמות-תצוה.json	2025-02-20T13:55:41.510+00:00	67b7345c002b89dbd769	2	1	null	8	679fa2f8002b800614ce
67b7346900339c0f1858	"[""read(\""user:679fa2f8002b800614ce\"")"",""update(\""user:679fa2f8002b800614ce\"")"",""delete(\""user:679fa2f8002b800614ce\"")""]"	2025-02-20T13:55:54.548+00:00	2025-02-20T13:55:54.548+00:00	שמות	תורה	כי תשא	תורה-שמות-כי תשא.json	2025-02-20T13:55:53.825+00:00	67b73468003bee1c775b	2	1	null	9	679fa2f8002b800614ce
67b734780012cd7a9c1d	"[""read(\""user:679fa2f8002b800614ce\"")"",""update(\""user:679fa2f8002b800614ce\"")"",""delete(\""user:679fa2f8002b800614ce\"")""]"	2025-02-20T13:56:09.012+00:00	2025-02-20T13:56:09.012+00:00	שמות	תורה	ויקהל	תורה-שמות-ויקהל.json	2025-02-20T13:56:08.300+00:00	67b734770019aca77665	2	1	null	10	679fa2f8002b800614ce
67b7348700189a178352	"[""read(\""user:679fa2f8002b800614ce\"")"",""update(\""user:679fa2f8002b800614ce\"")"",""delete(\""user:679fa2f8002b800614ce\"")""]"	2025-02-20T13:56:24.112+00:00	2025-02-20T13:56:24.112+00:00	שמות	תורה	פקודי	תורה-שמות-פקודי.json	2025-02-20T13:56:23.393+00:00	67b734860025368d3d85	2	1	null	11	679fa2f8002b800614ce
68fe0db4002053e4100b	"[""read(\""user:67609199002b27c2fd49\"")"",""update(\""user:67609199002b27c2fd49\"")"",""delete(\""user:67609199002b27c2fd49\"")""]"	2025-10-26T12:01:57.035+00:00	2025-10-26T12:01:57.035+00:00	שמות	תורה	שמות	תורה-שמות-שמות.json	2025-02-20T13:30:35.099+00:00	67b72e7a0000acde28d3	2	1	null	1	null
68fe0db5000c60126d28	"[""read(\""user:67609199002b27c2fd49\"")"",""update(\""user:67609199002b27c2fd49\"")"",""delete(\""user:67609199002b27c2fd49\"")""]"	2025-10-26T12:01:57.712+00:00	2025-10-26T12:01:57.712+00:00	ויקרא	תורה	ויקרא	תורה-ויקרא-ויקרא.json	2025-02-20T13:30:55.337+00:00	67b72e8e0016752593a7	3	1	null	1	null
68fe0db50035451d62df	"[""read(\""user:67609199002b27c2fd49\"")"",""update(\""user:67609199002b27c2fd49\"")"",""delete(\""user:67609199002b27c2fd49\"")""]"	2025-10-26T12:01:58.371+00:00	2025-10-26T12:01:58.371+00:00	במדבר	תורה	במדבר	תורה-במדבר-במדבר.json	2025-02-20T13:31:17.175+00:00	67b72ea40013996fe262	4	1	null	1	null
68fe0db60021106abacd	"[""read(\""user:67609199002b27c2fd49\"")"",""update(\""user:67609199002b27c2fd49\"")"",""delete(\""user:67609199002b27c2fd49\"")""]"	2025-10-26T12:01:59.043+00:00	2025-10-26T12:01:59.043+00:00	דברים	תורה	דברים	תורה-דברים-דברים.json	2025-02-20T13:31:39.075+00:00	67b72eba000a32051a5c	5	1	null	1	null
